t,T_ref_tightBDF,T_be_dt1.0,T_be_dt0.5,T_be_dt0.25,T_bdf_prod
0,301.15,301.15,301.15,301.15,301.15
2,302.1289914,302.0688357,302.0982409,302.1134691,302.1289955
4,302.5220789,302.4786874,302.5001745,302.5110791,302.5220832
6,302.8188014,302.7831993,302.8008934,302.8098224,302.8188048
8,303.0657298,303.0348488,303.0502222,303.0579601,303.0657337
10,303.280886,303.2532554,303.2670238,303.2739437,303.2808901
12,303.473506,303.4482885,303.4608622,303.4671757,303.4735093
14,303.6490731,303.6257388,303.6373785,303.6432192,303.6490773
16,303.8111578,303.7893465,303.8002299,303.8056885,303.811161
18,303.9622388,303.9416924,303.9519472,303.9570885,303.9622429
20,304.1041199,304.084646,304.0943673,304.0992398,304.1041233
22,304.238162,304.2196127,304.2288739,304.2335146,304.2381654
24,304.3654218,304.3476805,304.3565394,304.3609777,304.3654259
26,304.4867394,304.4697121,304.4782154,304.4824748,304.4867429
28,304.6027953,304.5864051,304.594591,304.5986909,304.6027986
30,304.7141503,304.6983332,304.7062335,304.7101899,304.7141542
32,304.8212727,304.8059748,304.8136163,304.8174427,304.8212767
34,304.9245586,304.9097339,304.9171395,304.9208474,304.924562
36,305.0243461,305.0099552,305.0171445,305.0207437,305.0243492
38,305.120927,305.1069357,305.1139257,305.117425,305.1209304
40,305.2145551,305.2009335,305.2077391,305.2111458,305.2145588
42,305.3054525,305.2921742,305.2988085,305.3021293,305.3054562
44,305.3938152,305.3808569,305.3873316,305.3905723,305.3938186
46,305.4798171,305.467158,305.4734834,305.4766492,305.4798202
48,305.5636132,305.5512347,305.55742,305.5605156,305.5636166
50,305.6453424,305.6332277,305.6392814,305.642311,305.6453462
52,305.72513,305.713264,305.7191936,305.722161,305.7251338
54,305.8030891,305.7914581,305.7972704,305.8001789,305.8030927
56,305.8793224,305.8679139,305.8736151,305.876468,305.8793259
58,305.9539235,305.9427261,305.9483219,305.951122,305.9539266
60,306.026978,306.0159812,306.0214769,306.0242267,306.0269808
62,306.0985642,306.0877585,306.0931588,306.0958609,306.0985667
64,306.1687544,306.1581309,306.1634402,306.1660967,306.1687563
66,306.237615,306.2271654,306.2323879,306.2350009,306.2376165
68,306.3052075,306.2949243,306.3000637,306.302635,306.3052085
70,306.3715888,306.361465,306.3665248,306.3690563,306.3715895
72,306.4368118,306.4268408,306.4318243,306.4343176,306.4368124
74,306.5009258,306.4911015,306.4960117,306.4984683,306.5009262
76,306.5639766,306.5542932,306.559133,306.5615544,306.5639769
78,306.6260071,306.6164593,306.6212314,306.6236188,306.6260073
80,306.6870573,306.6776403,306.6823471,306.6847018,306.6870574
82,306.747165,306.7378739,306.7425178,306.744841,306.7471648
84,306.8063655,306.7971958,306.8017791,306.8040719,306.806365
86,306.8646919,306.8556396,306.8601642,306.8624277,306.8646909
88,306.9221754,306.9132366,306.9177046,306.9199396,306.9221743
90,306.9788457,306.9700166,306.9744298,306.9766374,306.9788443
92,307.0347306,307.0260076,307.0303678,307.0325488,307.034729
94,307.0898564,307.0812363,307.085545,307.0877004,307.0898547
96,307.1442479,307.1357276,307.1399865,307.1421169,307.1442463
98,307.1979289,307.1895053,307.1937159,307.1958221,307.1979275
100,307.2509218,307.2425921,307.2467558,307.2488385,307.2509205
