t_s,T_air_C,C_env
0.000000000000000000e+00,2.800000000000000000e+01,1.963000000000000161e-02
5.000000000000000000e+00,2.804399999999998272e+01,1.966250000000000289e-02
1.000000000000000000e+01,2.808800000000002228e+01,1.969500000000000070e-02
1.500000000000000000e+01,2.813200000000000500e+01,1.972750000000000198e-02
2.000000000000000000e+01,2.817599999999998772e+01,1.975999999999999979e-02
2.500000000000000000e+01,2.822000000000002728e+01,1.979250000000000106e-02
3.000000000000000000e+01,2.826400000000001000e+01,1.982500000000000234e-02
3.500000000000000000e+01,2.830799999999999272e+01,1.985750000000000015e-02
4.000000000000000000e+01,2.835200000000003229e+01,1.989000000000000143e-02
4.500000000000000000e+01,2.839600000000001501e+01,1.992249999999999924e-02
5.000000000000000000e+01,2.843999999999999773e+01,1.995500000000000052e-02
5.500000000000000000e+01,2.848400000000003729e+01,1.998749999999999832e-02
6.000000000000000000e+01,2.852800000000002001e+01,2.001999999999999960e-02
6.500000000000000000e+01,2.858333333333337123e+01,2.006250000000000047e-02
7.000000000000000000e+01,2.863866666666666561e+01,2.010499999999999787e-02
7.500000000000000000e+01,2.869400000000001683e+01,2.014749999999999874e-02
8.000000000000000000e+01,2.874933333333336805e+01,2.018999999999999961e-02
8.500000000000000000e+01,2.880466666666666242e+01,2.023250000000000048e-02
9.000000000000000000e+01,2.886000000000001364e+01,2.027500000000000135e-02
9.500000000000000000e+01,2.891533333333336486e+01,2.031749999999999876e-02
1.000000000000000000e+02,2.897066666666665924e+01,2.035999999999999963e-02
1.050000000000000000e+02,2.902600000000001046e+01,2.040250000000000050e-02
1.100000000000000000e+02,2.908133333333336168e+01,2.044499999999999790e-02
1.150000000000000000e+02,2.913666666666665606e+01,2.048749999999999877e-02
1.200000000000000000e+02,2.919200000000000728e+01,2.052999999999999964e-02
1.250000000000000000e+02,2.923300000000000409e+01,2.056916666666666615e-02
1.300000000000000000e+02,2.927400000000000091e+01,2.060833333333333267e-02
1.350000000000000000e+02,2.931499999999999773e+01,2.064749999999999919e-02
1.400000000000000000e+02,2.935599999999999454e+01,2.068666666666666570e-02
1.450000000000000000e+02,2.939699999999999136e+01,2.072583333333333222e-02
1.500000000000000000e+02,2.943799999999998818e+01,2.076499999999999874e-02
1.550000000000000000e+02,2.947900000000004184e+01,2.080416666666666872e-02
1.600000000000000000e+02,2.952000000000003865e+01,2.084333333333333524e-02
1.650000000000000000e+02,2.956100000000003547e+01,2.088250000000000176e-02
1.700000000000000000e+02,2.960200000000003229e+01,2.092166666666666827e-02
1.750000000000000000e+02,2.964300000000002910e+01,2.096083333333333479e-02
1.800000000000000000e+02,2.968400000000002592e+01,2.100000000000000130e-02
1.850000000000000000e+02,2.971341666666671699e+01,2.104250000000000217e-02
1.900000000000000000e+02,2.974283333333335122e+01,2.108499999999999958e-02
1.950000000000000000e+02,2.977224999999998545e+01,2.112750000000000045e-02
