t_s,T_center_eta0_C,T_surface_eta0_C,T_center_eta1_C,T_surface_eta1_C,Cmax_eta0,Cmax_eta1
0.000,28.00000,28.00000,28.00000,28.00000,2.550000,2.550000
766.382,28.23475,30.79195,22.87906,14.82012,2.550000,2.550000
1532.763,30.03960,34.57545,18.06393,17.81535,2.550000,2.550000
2299.145,33.17814,38.21912,18.32088,21.08263,2.550000,2.550000
3065.526,36.70735,41.33710,20.58553,23.90018,2.550000,2.550000
3831.908,40.01874,43.90967,23.22665,26.01662,2.550000,2.550000
4598.289,42.81616,45.73579,25.49791,27.52470,2.549996,2.550000
5364.671,45.00838,47.10838,27.20732,28.64067,2.549917,2.550000
6131.052,46.62530,48.10186,28.44622,29.38717,2.549344,2.549999
6897.434,47.80206,48.78249,29.28554,29.92179,2.547107,2.549984
7663.815,48.59581,49.16160,29.94096,30.56924,2.541334,2.549896
8430.197,49.09966,49.50071,30.55469,31.10665,2.530279,2.549565
9196.578,49.44099,49.70945,31.09596,31.58363,2.512829,2.548661
9962.960,49.67169,49.85193,31.56189,31.93756,2.488614,2.546692
10729.341,49.81222,49.95927,31.92790,32.20439,2.457864,2.543055
11495.723,49.91684,49.93087,32.19633,32.40716,2.421139,2.537128
12262.104,49.94836,49.91412,32.45734,32.66111,2.379170,2.528378
13028.486,49.95552,49.93618,32.71983,32.91016,2.332832,2.516385
13794.867,49.98100,49.93770,32.95032,33.14428,2.283075,2.500873
14561.249,49.99593,49.99355,33.18108,33.36097,2.230653,2.481714
15327.630,49.99518,49.99703,33.40571,33.59472,2.176294,2.458930
16094.012,49.99696,49.99794,33.64479,33.83408,2.120604,2.432679
16860.393,49.99791,49.99842,33.88049,34.04740,2.064146,2.403111
17626.775,49.99841,49.99867,34.08808,34.23167,2.007471,2.370413
18393.156,49.99867,49.99880,34.27381,34.41143,1.950894,2.334891
19159.538,49.99880,49.99887,34.46043,34.59662,1.894584,2.296916
19925.919,49.99887,49.99890,34.64718,34.78785,1.838749,2.256807
20692.301,49.99890,49.99892,34.84914,34.99754,1.783652,2.214955
21458.682,49.99892,49.99893,35.05963,35.20453,1.729480,2.171638
22225.064,49.99893,49.99893,35.26445,35.40053,1.676395,2.127102
22991.445,49.99893,49.99893,35.46026,35.59170,1.624579,2.081606
23757.827,49.99893,49.99893,35.65882,35.79448,1.574084,2.035455
24524.208,49.99893,49.99893,35.86314,35.99983,1.524919,1.988872
25290.590,49.99893,49.99893,36.08339,36.23857,1.477103,1.942152
26056.971,49.99893,49.99893,36.32599,36.48571,1.430698,1.895488
26823.353,49.99893,49.99893,36.56993,36.72088,1.385734,1.848964
27589.734,49.99893,49.99893,36.80378,36.94822,1.342244,1.802687
28356.116,49.99893,49.99893,37.03735,37.19010,1.300311,1.756832
29122.497,49.99893,49.99893,37.28496,37.44086,1.259895,1.711551
29888.879,49.99893,49.99893,37.53465,37.68383,1.220915,1.666885
30655.261,49.99893,49.99893,37.77442,37.91731,1.183325,1.622863
31421.642,49.99893,49.99893,38.00908,38.15260,1.147135,1.579568
32188.024,49.99893,49.99893,38.24895,38.39352,1.112337,1.537090
32954.405,49.99893,49.99893,38.49121,38.63623,1.078868,1.495461
33720.787,49.99893,49.99893,38.73671,38.88175,1.046650,1.454725
34487.168,49.99893,49.99893,38.98294,39.12759,1.015639,1.414903
35253.550,49.99893,49.99893,39.23137,39.37610,0.985820,1.376027
36019.931,49.99893,49.99893,39.48024,39.62245,0.957155,1.338103
36786.313,49.99893,49.99893,39.72416,39.86151,0.929607,1.301118
37552.694,49.99893,49.99893,39.96252,40.09732,0.903141,1.265073
38319.076,49.99893,49.99893,40.20247,40.33997,0.877715,1.230002
39085.457,49.99893,49.99893,40.44610,40.58297,0.853298,1.195908
39851.839,49.99893,49.99893,40.69081,40.82834,0.829847,1.162788
40618.220,49.99893,49.99893,40.93636,41.07241,0.807312,1.130638
41384.602,49.99893,49.99893,41.17971,41.31336,0.785650,1.099440
42150.983,49.99893,49.99893,41.41967,41.55064,0.764838,1.069179
42917.365,49.99893,49.99893,41.65583,41.78404,0.744855,1.039840
43683.746,49.99893,49.99893,41.88803,42.01344,0.725666,1.011406
44450.128,49.99893,49.99893,42.11677,42.24104,0.707245,0.983865
45216.509,49.99893,49.99893,42.34475,42.46750,0.689559,0.957210
45982.891,49.99893,49.99893,42.56966,42.68860,0.672574,0.931416
46749.272,49.99893,49.99893,42.78738,42.90209,0.656259,0.906450
47515.654,49.99893,49.99893,42.99911,43.11149,0.640584,0.882295
48282.035,49.99893,49.99893,43.20871,43.31965,0.625520,0.858945
49048.417,49.99893,49.99893,43.41552,43.52400,0.611040,0.836377
49814.798,49.99893,49.99893,43.61815,43.72384,0.597127,0.814571
50581.180,49.99893,49.99893,43.81613,43.91920,0.583754,0.793504
51347.561,49.99893,49.99893,44.01118,44.11307,0.570891,0.773166
52113.943,49.99893,49.99893,44.20351,44.30301,0.558513,0.753536
52880.324,49.99893,49.99893,44.39141,44.48810,0.546600,0.734593
53646.706,49.99893,49.99893,44.57433,44.66810,0.535138,0.716314
54413.087,49.99893,49.99893,44.75313,44.84549,0.524105,0.698684
55179.469,49.99893,49.99893,44.92907,45.01916,0.513483,0.681687
55945.850,49.99893,49.99893,45.09983,45.18587,0.503252,0.665296
56712.232,49.99893,49.99893,45.26318,45.34566,0.493400,0.649483
57478.613,49.99893,49.99893,45.42054,45.50002,0.483912,0.634230
58244.995,49.99893,49.99893,45.57265,45.64934,0.474770,0.619518
59011.376,49.99893,49.99893,45.72001,45.79485,0.465960,0.605330
59777.758,49.99893,49.99893,45.86458,45.93764,0.457467,0.591653
60544.140,49.99893,49.99893,46.00537,46.07605,0.449280,0.578469
61310.521,49.99893,49.99893,46.14161,46.20979,0.441387,0.565760
62076.903,49.99893,49.99893,46.27315,46.33882,0.433771,0.553507
62843.284,49.99893,49.99893,46.40001,46.46324,0.426418,0.541693
63609.666,49.99893,49.99893,46.52230,46.58314,0.419315,0.530302
64376.047,49.99893,49.99893,46.64013,46.69864,0.412453,0.519316
65142.429,49.99893,49.99893,46.75361,46.80988,0.405821,0.508721
65908.810,49.99893,49.99893,46.86287,46.91696,0.399412,0.498501
