t_s,R_cm
0.000000000000000000e+00,2.000000000000000000e+00
1.800000000000000000e+03,1.872999999999999998e+00
3.600000000000000000e+03,1.794000000000000039e+00
5.400000000000000000e+03,1.703000000000000069e+00
7.200000000000000000e+03,1.625000000000000000e+00
9.000000000000000000e+03,1.588999999999999968e+00
1.080000000000000000e+04,1.552000000000000046e+00
1.260000000000000000e+04,1.510000000000000009e+00
1.440000000000000000e+04,1.477000000000000091e+00
1.620000000000000000e+04,1.447000000000000064e+00
1.800000000000000000e+04,1.423999999999999932e+00
1.980000000000000000e+04,1.397000000000000020e+00
2.160000000000000000e+04,1.374000000000000110e+00
2.340000000000000000e+04,1.356000000000000094e+00
2.520000000000000000e+04,1.336999999999999966e+00
2.700000000000000000e+04,1.320999999999999952e+00
2.880000000000000000e+04,1.310999999999999943e+00
3.060000000000000000e+04,1.298999999999999932e+00
3.240000000000000000e+04,1.290999999999999925e+00
3.420000000000000000e+04,1.280999999999999917e+00
3.600000000000000000e+04,1.272999999999999909e+00
3.780000000000000000e+04,1.266000000000000014e+00
3.960000000000000000e+04,1.260000000000000009e+00
4.140000000000000000e+04,1.252999999999999892e+00
4.320000000000000000e+04,1.247999999999999998e+00
4.500000000000000000e+04,1.243999999999999995e+00
4.680000000000000000e+04,1.239999999999999991e+00
4.860000000000000000e+04,1.235999999999999988e+00
5.040000000000000000e+04,1.233000000000000096e+00
5.220000000000000000e+04,1.229000000000000092e+00
5.400000000000000000e+04,1.225999999999999979e+00
5.580000000000000000e+04,1.223000000000000087e+00
5.760000000000000000e+04,1.221000000000000085e+00
5.940000000000000000e+04,1.219000000000000083e+00
6.120000000000000000e+04,1.217999999999999972e+00
6.300000000000000000e+04,1.215999999999999970e+00
6.480000000000000000e+04,1.213999999999999968e+00
6.660000000000000000e+04,1.213000000000000078e+00
6.840000000000000000e+04,1.211999999999999966e+00
7.020000000000000000e+04,1.211000000000000076e+00
7.200000000000000000e+04,1.209999999999999964e+00
7.380000000000000000e+04,1.209000000000000075e+00
7.560000000000000000e+04,1.207999999999999963e+00
7.740000000000000000e+04,1.207000000000000073e+00
7.920000000000000000e+04,1.205999999999999961e+00
8.100000000000000000e+04,1.205999999999999961e+00
8.280000000000000000e+04,1.205000000000000071e+00
8.460000000000000000e+04,1.205000000000000071e+00
8.640000000000000000e+04,1.203999999999999959e+00
8.820000000000000000e+04,1.203999999999999959e+00
9.000000000000000000e+04,1.203000000000000069e+00
9.180000000000000000e+04,1.203000000000000069e+00
9.360000000000000000e+04,1.203000000000000069e+00
9.540000000000000000e+04,1.203000000000000069e+00
9.720000000000000000e+04,1.201999999999999957e+00
9.900000000000000000e+04,1.201999999999999957e+00
1.008000000000000000e+05,1.201999999999999957e+00
1.026000000000000000e+05,1.201999999999999957e+00
1.044000000000000000e+05,1.201999999999999957e+00
1.062000000000000000e+05,1.201000000000000068e+00
1.080000000000000000e+05,1.201000000000000068e+00
1.098000000000000000e+05,1.201000000000000068e+00
1.116000000000000000e+05,1.201000000000000068e+00
1.134000000000000000e+05,1.201000000000000068e+00
1.152000000000000000e+05,1.201000000000000068e+00
1.170000000000000000e+05,1.201000000000000068e+00
1.188000000000000000e+05,1.201000000000000068e+00
1.206000000000000000e+05,1.201000000000000068e+00
1.224000000000000000e+05,1.201000000000000068e+00
1.242000000000000000e+05,1.201000000000000068e+00
1.260000000000000000e+05,1.199999999999999956e+00
1.278000000000000000e+05,1.199999999999999956e+00
1.296000000000000000e+05,1.199999999999999956e+00
1.314000000000000000e+05,1.199999999999999956e+00
1.332000000000000000e+05,1.199999999999999956e+00
1.350000000000000000e+05,1.199999999999999956e+00
1.368000000000000000e+05,1.199999999999999956e+00
1.386000000000000000e+05,1.199999999999999956e+00
1.404000000000000000e+05,1.199999999999999956e+00
1.422000000000000000e+05,1.199999999999999956e+00
1.440000000000000000e+05,1.199999999999999956e+00
1.458000000000000000e+05,1.199999999999999956e+00
1.476000000000000000e+05,1.199999999999999956e+00
1.494000000000000000e+05,1.199999999999999956e+00
1.512000000000000000e+05,1.199999999999999956e+00
1.530000000000000000e+05,1.199999999999999956e+00
1.548000000000000000e+05,1.199999999999999956e+00
1.566000000000000000e+05,1.199999999999999956e+00
1.584000000000000000e+05,1.199999999999999956e+00
1.602000000000000000e+05,1.199999999999999956e+00
1.620000000000000000e+05,1.199999999999999956e+00
1.638000000000000000e+05,1.199999999999999956e+00
1.656000000000000000e+05,1.199999999999999956e+00
1.674000000000000000e+05,1.199999999999999956e+00
1.692000000000000000e+05,1.199999999999999956e+00
1.710000000000000000e+05,1.199999999999999956e+00
1.728000000000000000e+05,1.199999999999999956e+00
1.746000000000000000e+05,1.199999999999999956e+00
1.764000000000000000e+05,1.199999999999999956e+00
1.782000000000000000e+05,1.199999999999999956e+00
1.800000000000000000e+05,1.199999999999999956e+00
1.818000000000000000e+05,1.199999999999999956e+00
1.836000000000000000e+05,1.199999999999999956e+00
1.854000000000000000e+05,1.199999999999999956e+00
1.872000000000000000e+05,1.199999999999999956e+00
1.890000000000000000e+05,1.199999999999999956e+00
1.908000000000000000e+05,1.199999999999999956e+00
1.926000000000000000e+05,1.199999999999999956e+00
1.944000000000000000e+05,1.199999999999999956e+00
1.962000000000000000e+05,1.199999999999999956e+00
1.980000000000000000e+05,1.199999999999999956e+00
1.998000000000000000e+05,1.199999999999999956e+00
2.016000000000000000e+05,1.199999999999999956e+00
2.034000000000000000e+05,1.199999999999999956e+00
2.052000000000000000e+05,1.199999999999999956e+00
2.070000000000000000e+05,1.199999999999999956e+00
2.088000000000000000e+05,1.199000000000000066e+00
2.106000000000000000e+05,1.199000000000000066e+00
2.124000000000000000e+05,1.199000000000000066e+00
2.142000000000000000e+05,1.199000000000000066e+00
2.160000000000000000e+05,1.199000000000000066e+00
2.178000000000000000e+05,1.199000000000000066e+00
2.196000000000000000e+05,1.199000000000000066e+00
2.214000000000000000e+05,1.199000000000000066e+00
2.232000000000000000e+05,1.199000000000000066e+00
2.250000000000000000e+05,1.199000000000000066e+00
2.268000000000000000e+05,1.199000000000000066e+00
2.286000000000000000e+05,1.199000000000000066e+00
2.304000000000000000e+05,1.199000000000000066e+00
2.322000000000000000e+05,1.199000000000000066e+00
2.340000000000000000e+05,1.199000000000000066e+00
2.358000000000000000e+05,1.199000000000000066e+00
2.376000000000000000e+05,1.199000000000000066e+00
2.394000000000000000e+05,1.199000000000000066e+00
2.412000000000000000e+05,1.197999999999999954e+00
2.430000000000000000e+05,1.197999999999999954e+00
2.448000000000000000e+05,1.197999999999999954e+00
2.466000000000000000e+05,1.197999999999999954e+00
2.484000000000000000e+05,1.197999999999999954e+00
2.502000000000000000e+05,1.197999999999999954e+00
2.520000000000000000e+05,1.197999999999999954e+00
2.538000000000000000e+05,1.197999999999999954e+00
2.556000000000000000e+05,1.197999999999999954e+00
2.574000000000000000e+05,1.197999999999999954e+00
2.592000000000000000e+05,1.197999999999999954e+00
